Row.names	DMSO_rep1	DMSO_rep2	DMSO_rep3	DMSO_rep4	THAP_rep1	THAP_rep2	THAP_rep3	THAP_rep4	V2	V3
ENSG00000009709.12	65	106	59	48	67	70	54	46	PAX7	protein_coding
ENSG00000009724.16	1	3	2	0	2	1	0	0	MASP2	protein_coding
ENSG00000009765.14	0	1	0	0	0	0	0	0	IYD	protein_coding
ENSG00000009780.15	50	64	42	34	51	43	42	39	FAM76A	protein_coding
ENSG00000009790.15	1	2	1	0	0	0	0	0	TRAF3IP3	protein_coding
ENSG00000009830.11	77	143	82	41	77	97	80	65	POMT2	protein_coding
ENSG00000009844.16	13	37	28	31	15	31	36	41	VTA1	protein_coding
ENSG00000009954.11	209	325	192	155	218	198	155	169	BAZ1B	protein_coding
ENSG00000010017.13	161	274	201	98	109	201	174	194	RANBP9	protein_coding
ENSG00000010030.14	80	136	59	39	242	226	50	38	ETV7	protein_coding
ENSG00000010072.16	39	83	53	42	31	43	37	37	SPRTN	protein_coding
ENSG00000010165.20	147	166	107	73	187	107	104	100	EEF1AKNMT	protein_coding
ENSG00000010256.11	28	81	41	59	37	43	26	26	UQCRC1	protein_coding
ENSG00000010270.13	58	73	52	37	36	43	45	53	STARD3NL	protein_coding
ENSG00000010278.14	35	35	22	17	24	14	17	17	CD9	protein_coding
ENSG00000010295.19	226	356	197	224	301	229	128	149	IFFO1	protein_coding
ENSG00000010310.9	3	9	7	4	8	4	2	3	GIPR	protein_coding
ENSG00000010318.21	149	194	144	77	140	127	97	92	PHF7	protein_coding
ENSG00000010319.6	1	1	1	0	0	2	0	0	SEMA3G	protein_coding
ENSG00000010322.16	663	726	653	391	757	489	379	426	NISCH	protein_coding
ENSG00000010327.10	1	0	0	0	3	1	0	1	STAB1	protein_coding
ENSG00000010361.13	87	105	86	92	136	91	54	63	FUZ	protein_coding
ENSG00000010438.16	1	3	6	5	3	2	5	6	PRSS3	protein_coding
ENSG00000010539.11	54	57	24	20	32	36	31	45	ZNF200	protein_coding
ENSG00000010610.10	1	3	2	3	1	3	1	2	CD4	protein_coding
ENSG00000010671.15	1	3	8	3	3	2	4	1	BTK	protein_coding
ENSG00000010704.18	0	1	0	1	1	0	0	0	HFE	protein_coding
ENSG00000010803.16	357	503	379	180	392	391	283	304	SCMH1	protein_coding
ENSG00000010810.17	218	393	266	191	242	369	279	358	FYN	protein_coding
ENSG00000010818.10	46	62	44	25	32	82	56	72	HIVEP2	protein_coding
ENSG00000010932.17	3	1	1	1	1	0	2	0	FMO1	protein_coding
ENSG00000011007.12	49	76	39	30	52	59	36	41	ELOA	protein_coding
ENSG00000011009.11	37	41	24	25	39	16	14	15	LYPLA2	protein_coding
ENSG00000011028.14	77	173	135	126	64	88	83	88	AC080038.1	protein_coding
ENSG00000011083.9	0	0	0	2	1	0	3	0	SLC6A7	protein_coding
ENSG00000011114.15	0	0	0	0	0	0	0	1	BTBD7	protein_coding
ENSG00000011143.16	94	106	94	62	118	97	62	77	MKS1	protein_coding
ENSG00000011198.9	27	35	25	20	24	26	35	23	ABHD5	protein_coding
ENSG00000011201.12	52	93	51	51	29	52	42	58	ANOS1	protein_coding
ENSG00000011260.14	141	171	126	94	130	152	121	125	UTP18	protein_coding
ENSG00000011304.20	256	339	291	189	328	188	178	221	PTBP1	protein_coding
ENSG00000011332.19	86	97	85	71	117	53	46	51	DPF1	protein_coding
ENSG00000011376.12	66	122	72	50	47	69	64	47	LARS2	protein_coding
ENSG00000011405.13	73	188	145	96	59	154	109	138	PIK3C2A	protein_coding
ENSG00000011426.11	97	177	143	114	43	80	76	90	ANLN	protein_coding
ENSG00000011451.19	320	353	284	219	464	259	211	229	WIZ	protein_coding
ENSG00000011465.17	0	0	0	0	0	0	0	0	DCN	protein_coding
ENSG00000011478.12	129	258	167	215	226	224	159	201	QPCTL	protein_coding
ENSG00000011485.14	421	769	286	198	465	338	233	278	PPP5C	protein_coding
ENSG00000011523.14	112	126	105	64	135	103	76	80	CEP68	protein_coding
ENSG00000011590.14	0	0	1	2	0	1	1	2	ZBTB32	protein_coding
ENSG00000011600.11	0	0	0	0	0	1	0	0	TYROBP	protein_coding
ENSG00000011638.10	28	32	14	12	13	19	13	9	TMEM159	protein_coding
ENSG00000011677.13	0	0	2	1	0	1	4	0	GABRA3	protein_coding
ENSG00000012061.15	121	105	162	583	210	102	418	133	ERCC1	protein_coding
ENSG00000012171.19	1	4	1	7	2	2	0	1	SEMA3B	protein_coding
ENSG00000012211.13	37	46	34	36	40	27	25	18	PRICKLE3	protein_coding
ENSG00000012223.12	1	0	1	0	3	1	2	3	LTF	protein_coding
ENSG00000012232.8	78	165	85	73	135	85	90	80	EXTL3	protein_coding
ENSG00000012504.15	3	1	1	1	0	2	2	3	NR1H4	protein_coding
ENSG00000012660.14	276	364	193	109	336	301	226	223	ELOVL5	protein_coding
ENSG00000012779.11	0	0	0	0	0	0	0	0	ALOX5	protein_coding
ENSG00000012817.15	0	0	0	0	0	0	0	0	KDM5D	protein_coding
ENSG00000012822.16	8	25	26	9	19	21	16	14	CALCOCO1	protein_coding
ENSG00000013016.16	25	20	10	7	30	21	11	7	EHD3	protein_coding
ENSG00000013275.7	212	202	184	121	259	154	156	179	PSMC4	protein_coding
ENSG00000013288.8	40	49	39	30	38	29	24	19	MAN2B2	protein_coding
ENSG00000013293.6	2	1	1	0	3	0	2	1	SLC7A14	protein_coding
ENSG00000013306.16	47	42	34	53	52	23	22	24	SLC25A39	protein_coding
ENSG00000013374.16	149	173	118	76	112	123	91	121	NUB1	protein_coding
ENSG00000013375.16	85	121	73	50	72	133	127	155	PGM3	protein_coding
ENSG00000013392.8	49	42	30	24	40	36	49	43	RWDD2A	protein_coding
ENSG00000013503.10	34	45	32	25	27	42	30	43	POLR3B	protein_coding
ENSG00000013561.18	47	63	44	30	36	41	44	35	RNF14	protein_coding
ENSG00000013563.14	46	53	48	43	59	39	24	33	DNASE1L1	protein_coding
ENSG00000013573.17	62	140	89	67	93	74	71	78	DDX11	protein_coding
ENSG00000013583.10	57	61	44	24	64	45	30	49	HEBP1	protein_coding
ENSG00000013588.8	26	107	48	66	33	50	33	63	GPRC5A	protein_coding
ENSG00000013619.14	70	201	85	34	73	196	79	70	MAMLD1	protein_coding
ENSG00000013725.14	1	3	7	3	9	2	4	1	CD6	protein_coding
ENSG00000014123.10	13	33	38	30	9	32	31	32	UFL1	protein_coding
ENSG00000014164.7	146	181	127	199	143	115	95	123	ZC3H3	protein_coding
ENSG00000014216.15	27	43	26	25	38	20	12	23	CAPN1	protein_coding
ENSG00000014257.16	0	0	0	3	1	0	2	1	ACPP	protein_coding
ENSG00000014641.18	85	99	82	60	67	61	87	102	MDH1	protein_coding
ENSG00000014824.14	91	138	97	83	69	137	115	134	SLC30A9	protein_coding
ENSG00000014914.21	0	5	4	3	2	4	3	3	MTMR11	protein_coding
ENSG00000015133.19	70	98	68	35	80	60	35	41	CCDC88C	protein_coding
ENSG00000015153.14	21	62	38	21	21	33	23	34	YAF2	protein_coding
ENSG00000015171.19	79	104	112	67	70	106	99	124	ZMYND11	protein_coding
ENSG00000015285.10	18	16	9	3	14	24	13	10	WAS	protein_coding
ENSG00000015413.9	0	5	2	3	1	0	1	1	DPEP1	protein_coding
ENSG00000015475.18	52	120	69	60	41	55	33	35	BID	protein_coding
ENSG00000015520.14	4	10	4	5	3	6	4	3	NPC1L1	protein_coding
ENSG00000015532.9	574	470	428	169	559	327	276	245	XYLT2	protein_coding
ENSG00000015568.13	2	11	0	1	2	3	1	1	RGPD5	protein_coding
ENSG00000015592.16	0	1	0	0	1	0	0	1	STMN4	protein_coding
ENSG00000015676.18	605	733	491	254	817	677	475	496	NUDCD3	protein_coding
ENSG00000016082.15	50	34	18	13	21	13	16	13	ISL1	protein_coding
ENSG00000016391.11	26	34	20	17	40	32	22	34	CHDH	protein_coding
ENSG00000016402.13	18	13	13	14	14	22	12	14	IL20RA	protein_coding
ENSG00000016490.15	1	1	1	1	4	0	1	0	CLCA1	protein_coding
ENSG00000016602.9	0	1	0	1	0	0	1	1	CLCA4	protein_coding
ENSG00000016864.18	25	44	33	18	29	33	31	24	GLT8D1	protein_coding
ENSG00000017260.19	41	87	73	50	31	69	60	62	ATP2C1	protein_coding
ENSG00000017427.16	0	0	0	0	1	1	1	1	IGF1	protein_coding
ENSG00000017483.15	1	2	4	2	0	0	1	1	SLC38A5	protein_coding
ENSG00000018189.13	205	319	223	146	173	203	192	220	RUFY3	protein_coding
ENSG00000018280.17	0	1	0	1	0	1	0	0	SLC11A1	protein_coding
ENSG00000018510.15	45	85	57	48	43	70	60	70	AGPS	protein_coding
ENSG00000018607.6	0	0	0	0	0	0	0	0	ZNF806	unprocessed_pseudogene
ENSG00000018610.14	16	33	16	8	23	18	9	11	CXorf56	protein_coding
ENSG00000018625.14	0	0	0	0	1	2	0	0	ATP1A2	protein_coding
ENSG00000018699.13	43	67	63	36	54	61	54	76	TTC27	protein_coding
ENSG00000019102.12	0	0	1	0	2	0	0	0	VSIG2	protein_coding
ENSG00000019169.10	0	0	2	0	1	0	0	0	MARCO	protein_coding
ENSG00000019186.10	3	3	0	0	0	6	2	0	CYP24A1	protein_coding
ENSG00000019485.13	117	166	109	78	153	122	80	54	PRDM11	protein_coding
ENSG00000019505.8	0	0	0	0	0	0	0	1	SYT13	protein_coding
ENSG00000019549.13	0	1	0	0	0	0	0	0	SNAI2	protein_coding
ENSG00000019582.15	5	4	5	5	9	3	4	3	CD74	protein_coding
ENSG00000019991.18	0	0	1	0	0	0	0	0	HGF	protein_coding
ENSG00000020129.16	145	204	211	165	265	159	151	155	NCDN	protein_coding
ENSG00000020181.17	57	69	64	46	53	32	34	46	ADGRA2	protein_coding
ENSG00000020256.20	430	510	322	205	464	391	296	263	ZFP64	protein_coding
ENSG00000020577.13	68	102	80	53	70	165	99	138	SAMD4A	protein_coding
ENSG00000020633.18	163	143	138	108	209	93	128	105	RUNX3	protein_coding
ENSG00000021300.14	5	8	1	0	4	3	3	3	PLEKHB1	protein_coding
ENSG00000021355.13	51	53	36	42	42	52	34	43	SERPINB1	protein_coding
ENSG00000021461.16	2	0	0	0	1	0	0	1	CYP3A43	protein_coding
ENSG00000021574.12	30	78	27	37	29	47	21	31	SPAST	protein_coding
ENSG00000021762.20	220	335	215	177	201	142	117	109	OSBPL5	protein_coding
ENSG00000021776.11	25	41	39	30	23	30	32	41	AQR	protein_coding
ENSG00000021852.13	0	0	0	0	1	0	0	0	C8B	protein_coding
ENSG00000022267.18	127	138	158	88	178	138	103	140	FHL1	protein_coding
ENSG00000022355.17	0	0	0	1	0	0	0	0	GABRA1	protein_coding
ENSG00000022556.16	0	0	0	0	0	0	0	0	NLRP2	protein_coding
ENSG00000022840.16	169	250	173	129	189	179	163	140	RNF10	protein_coding
ENSG00000022976.15	278	322	295	138	383	251	214	182	ZNF839	protein_coding
ENSG00000023171.18	129	250	109	71	170	174	85	114	GRAMD1B	protein_coding
ENSG00000023191.17	0	0	0	0	0	1	1	0	RNH1	protein_coding
ENSG00000023228.14	69	141	79	80	73	108	71	70	NDUFS1	protein_coding
ENSG00000023287.13	25	102	82	54	26	83	61	75	RB1CC1	protein_coding
ENSG00000023318.8	19	64	65	46	43	80	95	113	ERP44	protein_coding
ENSG00000023330.15	90	124	59	46	92	64	62	66	ALAS1	protein_coding
ENSG00000023445.14	0	1	2	1	0	0	0	0	BIRC3	protein_coding
ENSG00000023516.9	26	52	50	27	25	62	50	59	AKAP11	protein_coding
ENSG00000023572.9	35	44	26	17	33	28	32	44	GLRX2	protein_coding
ENSG00000023697.13	26	43	36	25	26	52	24	42	DERA	protein_coding
ENSG00000023734.11	60	110	82	63	48	58	66	80	STRAP	protein_coding
ENSG00000023839.12	5	10	5	6	5	8	6	3	ABCC2	protein_coding
ENSG00000023892.11	31	55	54	32	25	24	38	29	DEF6	protein_coding
ENSG00000023902.14	64	74	45	47	69	45	34	42	PLEKHO1	protein_coding
ENSG00000023909.10	43	48	69	35	30	38	52	51	GCLM	protein_coding
ENSG00000024048.10	112	405	204	209	103	212	115	174	UBR2	protein_coding
ENSG00000024526.17	19	42	48	40	7	15	36	33	DEPDC1	protein_coding
ENSG00000024862.17	212	252	209	150	139	207	165	182	CCDC28A	protein_coding
ENSG00000025039.14	46	83	46	41	37	44	33	30	RRAGD	protein_coding
ENSG00000025156.12	154	176	137	100	83	133	115	133	HSF2	protein_coding
ENSG00000025293.17	123	359	143	133	110	154	123	120	PHF20	protein_coding
ENSG00000025423.11	18	33	19	9	14	23	8	20	HSD17B6	protein_coding
ENSG00000025434.19	68	86	57	47	61	63	43	36	NR1H3	protein_coding
ENSG00000025772.8	73	108	67	43	87	71	54	58	TOMM34	protein_coding
ENSG00000025796.14	44	134	77	50	43	109	80	105	SEC63	protein_coding
ENSG00000026025.16	31	71	40	37	38	52	44	58	VIM	protein_coding
ENSG00000026559.14	77	66	85	49	75	77	87	67	KCNG1	protein_coding
